Email_Text,Label
"Congratulations! You have won a free iPhone. Click here to claim now.",1
"Exclusive offer! Get 80% discount on all products today.",1
"Claim your lottery prize before it expires.",1
"Win cash rewards instantly by registering now.",1
"Limited time offer! Free vacation package awaits.",1
"You have been selected for a special reward.",1
"Earn money from home with this secret method.",1
"Get a free gift card worth $500 today.",1
"Urgent! Your account has won a bonus prize.",1
"Click now to receive your free coupon.",1
"Lowest loan rates available. Apply immediately.",1
"You are the lucky winner of our contest.",1
"Double your income with this amazing opportunity.",1
"Act fast! Exclusive deal ends tonight.",1
"Free entry into our jackpot draw.",1
"Your package is waiting. Verify details now.",1
"Unlock premium services at no cost.",1
"Win a brand new car by entering today.",1
"Special promotion just for you. Claim reward.",1
"Get rich quickly with this proven system.",1
"Reminder: Project meeting scheduled at 10 AM tomorrow.",0
"Please find the attached assignment submission.",0
"Can we reschedule our discussion to next week?",0
"Thank you for attending the seminar yesterday.",0
"Let's meet in the conference room after lunch.",0
"Here are the notes from today's lecture.",0
"The report has been uploaded to the shared drive.",0
"Please review the document and provide feedback.",0
"Your order has been successfully delivered.",0
"Team outing is planned for this Friday evening.",0
"The exam timetable has been announced.",0
"Can you send me the presentation slides?",0
"The maintenance work will start tomorrow.",0
"Please complete the survey by end of day.",0
"The payment has been processed successfully.",0
"Thank you for your purchase.",0
"The meeting minutes have been shared.",0
"Your interview is scheduled for Monday.",0
"The library will remain open until 8 PM.",0
"Please update the project status tracker.",0
"Class has been shifted to Room 204.",0
"The workshop registration closes tomorrow.",0
"Attached are the requested files.",0
"Your support ticket has been resolved.",0
"The software update is now available.",0
"Please confirm your attendance for the event.",0
"The results have been published on the portal.",0
"Kindly review the budget proposal.",0
"Thank you for your cooperation.",0
"The training session begins at 2 PM.",0